modelo,S0,S1,S2,S3,S5,C0,C1,C2,C3,C5
phi-4,0.00%,2.65%,1.77%,6.19%,15.93%,0.00%,1.77%,7.08%,9.73%,16.81%
gpt-oss-20b,0.00%,3.54%,7.08%,6.19%,7.08%,30.09%,33.63%,32.74%,35.40%,35.40%
mistral-small-3.2-24b-instruct-2506,0.00%,1.77%,1.77%,10.62%,14.16%,0.00%,10.62%,7.96%,13.27%,4.42%
qwen3-32b,0.00%,16.81%,6.19%,8.85%,10.62%,25.66%,25.66%,21.24%,21.24%,22.12%
gpt-oss-120b,15.93%,31.86%,34.51%,41.59%,34.51%,80.53%,77.88%,76.11%,80.53%,85.84%
qwen3.5-35b-a3b,0.88%,7.08%,11.50%,19.47%,15.04%,6.19%,8.85%,12.39%,15.04%,22.12%
google_gemma-4-26b-a4b,0.88%,1.77%,6.19%,8.18%,15.04%,2.65%,15.04%,20.35%,25.66%,19.47%
