modelo,S0,S1,S2,S3,S5,C0,C1,C2,C3,C5
phi-4,0.00%,0.99%,1.97%,0.74%,4.43%,0.74%,2.71%,4.43%,6.90%,6.65%
gpt-oss-20b,1.48%,8.87%,14.29%,14.53%,15.27%,17.49%,21.18%,23.15%,23.95%,29.31%
mistral-small-3.2-24b-instruct-2506,0.00%,0.74%,1.72%,4.19%,5.42%,0.99%,3.20%,7.39%,9.85%,9.61%
qwen3-32b,4.42%,3.93%,5.69%,7.14%,13.55%,18.97%,12.04%,21.43%,20.94%,34.98%
gpt-oss-120b,15.02%,22.66%,21.18%,22.41%,55.17%,47.29%,47.29%,41.38%,46.06%,60.10%
qwen3.5-35b-a3b,0.25%,0.99%,5.17%,5.91%,9.85%,3.94%,3.45%,6.90%,9.11%,13.79%
google_gemma-4-26b-a4b,0.00%,5.17%,5.67%,9.61%,10.10%,1.72%,4.43%,5.42%,9.36%,8.87%
