modelo,S0,S1,S2,S3,S5,C0,C1,C2,C3,C5
phi-4,0.00%,1.79%,12.50%,1.79%,4.46%,0.89%,8.04%,18.75%,2.68%,12.50%
gpt-oss-20b,1.79%,0.89%,8.04%,4.46%,4.46%,8.93%,1.79%,9.82%,8.93%,5.36%
mistral-small-3.2-24b-instruct-2506,0.00%,1.79%,12.50%,17.86%,13.39%,1.79%,9.82%,19.64%,17.86%,22.32%
qwen3-32b,3.57%,12.50%,21.43%,23.21%,32.14%,10.71%,18.75%,31.25%,25.00%,25.89%
gpt-oss-120b,2.68%,9.82%,8.93%,15.18%,22.32%,18.75%,25.00%,33.04%,32.14%,31.25%
qwen3.5-35b-a3b,0.00%,0.00%,16.96%,19.64%,8.04%,3.57%,1.79%,17.86%,25.00%,9.82%
google_gemma-4-26b-a4b,12.50%,13.39%,17.86%,10.71%,19.64%,12.50%,16.07%,16.96%,9.82%,8.04%
